,ID,Lon,Lat,Label,Attribute,Description
139,HMN010a_S4B3_K03B,15.1811810842,35.3387131407,5,,EMPTY 
140,HMN010a_S4B3_K03A,15.1812223574,35.3387263067,5,,EMPTY 
141,HMN010a_S4B3_K02A,15.257656239000001,35.3320426561,5,,Very Soft Slightly Sandy CLAY 
142,HMN010a_S4B3_K01A,15.400456657100001,35.331928668,5,,Very Soft Sandy CLAY 
143,HMN010a_S4B2_K05A,15.510278214000001,35.327551363299996,5,,Very Soft Slightly Sandy CLAY  
144,HMN010a_S4B2_K04A,15.6301190554,35.3230834581,5,,Very Soft Slightly Sandy CLAY 
145,HMN010a_S4B2_K03A,15.7299714274,35.3189178356,5,,Very Soft Slightly Sandy CLAY 
146,HMN010a_S4B2_K02A,15.8398109648,35.314542887100004,5,,Very Soft CLAY 
147,HMN010a_S4B2_K01A,15.9443896932,35.3104293828,5,,Very Soft CLAY 
148,HMN010a_S5B0_K07A,13.1345455045,36.3370264128,5,,Very Soft SILT 
149,HMN010a_S5B0_K06A,13.2306633199,36.291580003,5,,Very Soft SILT 
150,HMN010a_S5B0_K05A,13.3090605434,36.228397267,5,,Very Soft SILT 
151,HMN010_PES_MALTA_K04,13.8621339375,35.6765884668,5,, 
