Lon;Lat;Label;Annotation
14.7135360731;35.3248245641;6;Thickness > 3m
14.6505290301;35.3248947735;6;Thickness > 1m
15.5733054995;35.3249310058;6;Thickness > 3m
15.5844111346;35.3249332604;6;pm 53 m
14.6886092641;35.3249561219;6;Thickness > 2m
15.6479873622;35.3249620810;6;r
14.7440827768;35.3250343389;6;r
15.5259433558;35.3250455441;6;pm
14.6210352295;35.3250565560;6;r
15.5606319256;35.3250983258;6;r
14.7395865079;35.3251255019;6;Soft CLAY
15.5398888139;35.3251436840;6;Silty CLAY
14.7496456318;35.3251635975;6;r
14.7303722597;35.3251845210;6;Soft CLAY
14.7091049198;35.3252163742;6;Soft CLAY
15.6192955916;35.3252463655;6;POSSIBLE FRANCE - ISRAEL
14.7468997120;35.3252670077;6;r
14.7599326258;35.3253031882;6;fs
14.7507345302;35.3253251729;6;r
14.7503478924;35.3253380994;6;r
14.7751189913;35.3253870420;6;Thickness > 3m
15.5558002816;35.3254104929;6;Silty CLAY
14.6569398563;35.3254361797;6;Thickness > 2m
15.6121254993;35.3254418513;6;Thickness > 2m
14.6786745225;35.3254922135;6;r
14.6833478194;35.3255451427;6;Soft CLAY
14.6746697144;35.3256035579;6;fs
14.7886612016;35.3257034089;6;Soft CLAY
14.6152378050;35.3257327543;6;Soft CLAY
14.6716409141;35.3257481894;6;buried rock
14.6448817883;35.3258135030;6;Thickness > 1m
14.6716036805;35.3258547079;6;1.04
14.6707001345;35.3258716802;6;1.5
15.3005650589;35.3258989349;6;dr
15.6038204500;35.3259699829;6;fs
14.7668876181;35.3260034235;6;Thickness > 2m
14.6491874587;35.3260041190;6;r
15.5224303604;35.3260174697;6;Silty CLAY
15.5418227277;35.3260294437;6;Thickness > 2m
14.6201227261;35.3260823995;6;Thickness > 2m
14.6722187715;35.3261007484;6;1.81
15.3054252103;35.3261087324;6;dr
15.5129679915;35.3261130247;6;Thickness > 3m
14.6712533590;35.3261326738;6;1.15
15.6074190976;35.3261495546;6;Thickness > 2m
14.7006294843;35.3263094082;6;Soft CLAY
14.6659105567;35.3263141440;6;Thickness > 2m
15.5897940293;35.3263350281;6;Thickness > 3m
14.6202865145;35.3263375182;6;fs
14.6351624606;35.3264150644;6;Clayey SAND
